NGA,PolID,Time,PolPop,PolTerr,CapPop,levels,government,infrastr,writing,texts,money,irep
Konya Plain,TrNeoER,-9600,2.600275084,1.958332792,1.807843566,0,0,0,0,0,0,1
Konya Plain,TrNeoER,-9600,3.113098718,5.972659916,0.655774527,0,0,0,0,0,0,2
Konya Plain,TrNeoER,-9600,2.549230523,2.447508406,1.978868001,0,0,0,0,0,0,3
Konya Plain,TrNeoER,-9600,2.219265687,1.68174672,-0.270719425,0,0,0,0,0,0,4
Konya Plain,TrNeoER,-9600,3.632904284,2.564416705,2.097309607,0,0,0,0,0,0,5
Konya Plain,TrNeoER,-9600,2.326753367,3.827530464,1.213614748,0,0,0,0,0,0,6
Konya Plain,TrNeoER,-9600,3.225199916,5.327355017,2.961266178,0,0,0,0,0,0,7
Konya Plain,TrNeoER,-9600,2.707894575,3.675912952,2.89253412,0,0,0,0,0,0,8
Konya Plain,TrNeoER,-9600,2.033674805,2.491810612,1.273873192,0,0,0,0,0,0,9
Konya Plain,TrNeoER,-9600,1.573717513,2.7282284,2.010612189,0,0,0,0,0,0,10
Konya Plain,TrNeoER,-9600,2.662662399,2.193078325,2.378975455,0,0,0,0,0,0,11
Konya Plain,TrNeoER,-9600,3.349971965,3.280173038,3.088927689,0,0,0,0,0,0,12
Konya Plain,TrNeoER,-9600,3.02856248,1.429567237,2.135381673,0,0,0,0,0,0,13
Konya Plain,TrNeoER,-9600,1.888574872,2.906505253,1.991266283,0,0,0,0,0,0,14
Konya Plain,TrNeoER,-9600,2.83681364,2.202253197,2.039188205,0,0,0,0,0,0,15
Konya Plain,TrNeoER,-9600,3.511986046,3.979610562,1.991143256,0,0,0,0,0,0,16
Konya Plain,TrNeoER,-9600,3.913815383,5.101875045,1.889535277,0,0,0,0,0,0,17
Konya Plain,TrNeoER,-9600,3.472696345,3.220808219,3.496097024,0,0,0,0,0,0,18
Konya Plain,TrNeoER,-9600,2.808053125,3.592798925,1.909812958,0,0,0,0,0,0,19
Konya Plain,TrNeoER,-9600,3.117577859,0.431976167,2.593865425,0,0,0,0,0,0,20
Susiana,IrPrCer,-7800,3.60460905,1.432545492,2.658390316,0.62,0.09,0.181818182,0,0,0.9,1
Susiana,IrPrCer,-7800,2.545768363,2.411080074,2.621926124,0.62,0.09,0.181818182,0,0,0.9,2
Susiana,IrPrCer,-7800,1.829078784,2.36315729,2.289086895,0.62,0.09,0.181818182,0,0,0.9,3
Susiana,IrPrCer,-7800,2.122456848,2.419689746,2.299412401,0.62,0.09,0.181818182,0,0,0.9,4
Susiana,IrPrCer,-7800,4.137225212,2.601184603,2.529406632,0.62,0.09,0.181818182,0,0,0.9,5
Susiana,IrPrCer,-7800,3.313590967,2.362248029,2.566984011,0.62,0.09,0.181818182,0,0,0.9,6
Susiana,IrPrCer,-7800,2.455178346,1.829501048,2.335392296,0.62,0.09,0.181818182,0,0,0.9,7
Susiana,IrPrCer,-7800,2.052450413,3.047072636,2.580374483,0.62,0.09,0.181818182,0,0,0.9,8
Susiana,IrPrCer,-7800,4.031821103,2.514019059,2.468179786,0.62,0.09,0.181818182,0,0,0.9,9
Susiana,IrPrCer,-7800,3.226497332,2.350287887,2.700759839,0.62,0.09,0.181818182,0,0,0.9,10
Susiana,IrPrCer,-7800,2.326818324,2.414818973,2.509419399,0.62,0.09,0.181818182,0,0,0.9,11
Susiana,IrPrCer,-7800,2.745691604,1.568180174,2.524794151,0.62,0.09,0.181818182,0,0,0.9,12
Susiana,IrPrCer,-7800,2.355576893,1.535649866,2.646413091,0.62,0.09,0.181818182,0,0,0.9,13
Susiana,IrPrCer,-7800,2.747691892,3.097921287,2.620964729,0.62,0.09,0.181818182,0,0,0.9,14
Susiana,IrPrCer,-7800,2.957955677,2.786485342,2.554202941,0.62,0.09,0.181818182,0,0,0.9,15
